word freq sentiment
fighting 568 1
filmed 807 1
final 1429 1
forgiveness 59 1
form 850 1
friendship 481 1
front 541 1
genuine 344 1
gift 149 1
gifts 34 1
give 3010 1
glance 79 1
glued 80 1
grade 238 1
guessing 184 1
guests 103 1
guys 1212 1
handle 170 1
handled 217 1
happen 962 1
happening 329 1
happens 918 1
hopeful 57 1
imagination 346 1
inherited 34 1
instead 1397 1
intelligently 40 1
involve 107 1
itself 1586 1
job 2803 1
keeping 346 1
kept 659 1
kids 1818 1
kindness 56 1
knows 971 1
laughter 231 1
leading 621 1
less 1654 1
lines 1248 1
lionel 85 1
lost 1493 1
loved 2216 1
man 5981 1
meant 503 1
meeting 278 1
merely 302 1
mind 1927 1
minute 566 1
minutes 1571 1
modern 1038 1
moments 1835 1
mysterious 422 1
needs 793 1
next 1656 1
occurred 122 1
occurring 31 1
oddly 135 1
opening 972 1
opportunity 403 1
otherwise 492 1
outstanding 657 1
own 4030 1
packed 173 1
peter 876 1
piece 1267 1
places 458 1
player 279 1
power 1041 1
produce 184 1
proudly 33 1
prove 268 1
proved 250 1
provide 340 1
providing 148 1
purity 36 1
questions 531 1
raging 59 1
raiders 39 1
railroad 43 1
railway 46 1
random 175 1
rarity 44 1
reaction 260 1
ready 336 1
realism 346 1
realizes 260 1
recently 724 1
refreshing 329 1
regular 290 1
releases 89 1
remaining 110 1
resolved 63 1
rewards 36 1
right 3239 1
say 4823 1
saying 698 1
scene 5051 1
screen 2379 1
script 1804 1
seemingly 374 1
several 1559 1
shots 759 1
should 4005 1
simple 1346 1
sincere 119 1
skillfully 55 1
small 1772 1
sorely 37 1
spoken 146 1
stand 671 1
staple 38 1
stars 1533 1
state 519 1
stop 841 1
strangers 144 1
strong 1473 1
suddenly 413 1
taken 1065 1
teaches 112 1
techniques 183 1
three 2359 1
through 4649 1
tiny 241 1
today 1460 1
todays 441 1
took 1100 1
towns 87 1
track 399 1
train 535 1
trains 64 1
transform 29 1
treasure 219 1
unanswered 41 1
understanding 360 1
unseen 81 1
vcr 36 1
vhs 401 1
viewed 279 1
viewer 1248 1
viewing 928 1
village 310 1
visual 669 1
voyage 105 1
way 7738 1
widescreen 132 1
will 10232 1
witnessed 92 1
working 843 1
years 5414 1
youthful 75 1
answered 64 1
cant 3022 1
diehard 51 1
dreaming 48 1
enterprise 103 1
fantastic 1205 1
intro 37 1
keep 1697 1
misses 80 1
new 4597 1
nine 168 1
nobody 333 1
perspective 314 1
seasons 293 1
shocked 191 1
sign 194 1
star 1879 1
stunning 600 1
suffered 142 1
trek 253 1
visuals 304 1
able 1451 1
absolute 299 1
appreciate 661 1
artistic 353 1
beautifully 744 1
beauty 960 1
boring 639 1
camerawork 108 1
can 11031 1
combined 209 1
directing 510 1
drama 1635 1
elements 839 1
especially 3013 1
executed 201 1
feels 772 1
genres 138 1
hard 2239 1
horrible 339 1
images 659 1
label 54 1
let 1464 1
lovers 373 1
main 2123 1
mustsee 203 1
necessarily 200 1
overdone 86 1
passion 413 1
passionately 29 1
perfection 252 1
poetic 140 1
prevents 26 1
solely 74 1
sort 1193 1
speak 457 1
storytelling 229 1
style 1668 1
things 3632 1
thriller 868 1
tries 914 1
under 1253 1
begin 567 1
bet 174 1
complaining 82 1
cool 963 1
couples 107 1
crazed 51 1
date 477 1
dirty 409 1
faded 47 1
harry 534 1
hes 2693 1
issues 538 1
killer 884 1
lead 1259 1
makeup 293 1
minor 476 1
obscurity 42 1
off 4461 1
offered 179 1
okay 432 1
overlooked 176 1
robot 166 1
robots 70 1
romantic 1077 1
then 6575 1
thinks 400 1
touching 672 1
turned 762 1
want 3136 1
advice 167 1
afternoon 173 1
associates 42 1
beat 348 1
born 430 1
break 534 1
complex 622 1
contrast 323 1
discuss 115 1
eating 187 1
ended 483 1
ends 912 1
executive 103 1
extended 125 1
finds 1094 1
finished 222 1
fit 536 1
followed 349 1
football 236 1
frankly 175 1
gangster 264 1
godfather 125 1
gratuitous 149 1
knowing 503 1
left 1835 1
mafia 102 1
mans 411 1
marriage 478 1
needed 571 1
nephew 72 1
nudity 357 1
pan 68 1
prefers 31 1
rage 115 1
saga 101 1
sit 483 1
soprano 47 1
sun 195 1
sunday 202 1
take 3374 1
tale 1021 1
thinking 853 1
tony 546 1
treat 416 1
trust 306 1
upcoming 58 1
versus 126 1
view 1124 1
violence 1013 1
watched 2196 1
wife 2139 1
yes 1349 1
youre 1594 1
youve 648 1
agrees 112 1
amiable 45 1
amoral 35 1
answer 367 1
appealing 222 1
aside 452 1
aspects 440 1
big 3365 1
bizarre 455 1
bodyguard 31 1
breakdown 79 1
breath 196 1
brilliantly 396 1
career 1018 1
carey 84 1
caused 231 1
certainly 1682 1
citizen 127 1
concerns 156 1
connery 167 1
consists 86 1
controversy 71 1
conventional 148 1
crippled 70 1
dares 33 1
day 2740 1
deliver 274 1
director 3437 1
directorial 134 1
disturbing 505 1
drive 327 1
easy 968 1
easygoing 28 1
edited 191 1
ensues 93 1
everett 82 1
exactly 915 1
expressing 39 1
fact 3178 1
failure 156 1
falls 708 1
fatale 75 1
femme 92 1
fifties 79 1
flamboyant 48 1
forth 174 1
fully 471 1
fuzzy 36 1
getting 1492 1
giving 799 1
glenn 152 1
goes 2253 1
goods 69 1
gusto 44 1
hammy 44 1
happy 1083 1
hayworth 100 1
hired 152 1
hollywood 1823 1
husband 1023 1
imagine 638 1
inability 79 1
incomprehensible 29 1
inside 714 1
intelligent 630 1
isnt 2582 1
issue 293 1
kane 171 1
kind 2443 1
knew 944 1
knowledge 314 1
lack 755 1
lady 774 1
last 3013 1
law 420 1
lawyers 39 1
lived 437 1
long 3201 1
looked 674 1
lucky 298 1
making 2183 1
manages 635 1
married 678 1
maybe 1808 1
mental 279 1
mere 178 1
mess 192 1
method 101 1
moon 267 1
morbid 54 1
murder 1194 1
naive 217 1
name 1357 1
noir 481 1
notes 134 1
often 1848 1
ohara 56 1
orson 90 1
outsider 43 1
pace 640 1
palpable 51 1
partial 31 1
partner 286 1
peculiar 73 1
period 845 1
personal 846 1
personality 375 1
photographed 142 1
played 3058 1
pleasing 78 1
plot 4593 1
popular 625 1
portrait 205 1
possess 47 1
postmodern 28 1
presence 463 1
presented 439 1
prestigious 32 1
presumably 73 1
producers 345 1
promised 73 1
quality 1172 1
question 678 1
reached 104 1
read 1676 1
result 541 1
rita 145 1
robert 1191 1
rope 67 1
sailor 88 1
sea 333 1
sean 294 1
setpieces 29 1
shanghai 78 1
shaw 82 1
shock 308 1
since 2990 1
sorts 204 1
sour 41 1
speeches 64 1
standards 319 1
starts 1009 1
statements 44 1
strangely 165 1
studio 501 1
suggest 350 1
suicide 368 1
suspect 309 1
system 408 1
talented 586 1
telling 597 1
tended 45 1
thirty 106 1
thrown 295 1
timothy 114 1
told 1174 1
topics 73 1
tow 28 1
trait 40 1
treacherous 32 1
trouble 493 1
turning 286 1
turns 1297 1
twenty 219 1
type 1054 1
urgency 31 1
vehicle 178 1
verge 46 1
watchable 180 1
weird 529 1
welles 231 1
whether 868 1
whose 1092 1
wonders 131 1
work 4326 1
allows 325 1
appreciation 119 1
art 1315 1
castle 343 1
charisma 116 1
command 115 1
complete 744 1
defines 41 1
despite 1428 1
feast 104 1
fills 64 1
four 916 1
full 1772 1
gloomy 58 1
hamlet 147 1
holes 220 1
hours 761 1
incredible 794 1
inventive 146 1
length 298 1
observed 50 1
pass 312 1
quickly 576 1
saw 3449 1
sumptuous 41 1
tragedy 456 1
version 2135 1
ways 979 1
agree 587 1
amazingly 209 1
average 564 1
commented 110 1
continuous 39 1
entertainment 886 1
exaggerated 91 1
expectations 359 1
face 1504 1
focused 218 1
found 2646 1
globe 99 1
hope 1593 1
hour 689 1
jokes 725 1
lets 771 1
low 840 1
ones 1241 1
others 1955 1
pacing 245 1
produced 498 1
reference 147 1
reminded 405 1
schedule 47 1
scheme 112 1
similar 936 1
storyline 681 1
tend 259 1
unfortunately 815 1
vulgar 51 1
went 1337 1
already 1193 1
amanda 135 1
because 7933 1
budget 1081 1
city 1446 1
comment 588 1
considering 465 1
dare 145 1
dating 89 1
hit 995 1
impressed 494 1
impressive 605 1
laughing 503 1
mainly 415 1
male 565 1
night 2066 1
nonstop 112 1
pokes 35 1
provided 273 1
purchase 120 1
rest 1413 1
rock 828 1
satire 268 1
screened 59 1
screening 207 1
seas 42 1
seriously 672 1
sex 1258 1
sold 154 1
solid 692 1
territory 156 1
thoroughly 423 1
wouldnt 755 1
attempting 134 1
basically 647 1
bone 93 1
brings 814 1
capital 87 1
catchy 96 1
cats 158 1
conclusion 421 1
episodes 1176 1
fans 1492 1
franchise 85 1
gordon 211 1
grown 222 1
human 1983 1
including 1196 1
jim 489 1
join 178 1
king 868 1
knight 96 1
letters 68 1
list 455 1
means 764 1
memorable 931 1
nick 253 1
notice 378 1
party 556 1
personalities 174 1
quirky 219 1
root 96 1
saving 175 1
simply 1659 1
situations 560 1
sooner 62 1
spaceship 42 1
talk 755 1
teenage 343 1
top 1731 1
voice 1060 1
wayne 243 1
wealthy 177 1
word 770 1
abandoned 172 1
age 1145 1
anyway 911 1
awesome 693 1
bed 426 1
bore 86 1
catch 483 1
cause 506 1
copy 698 1
crap 289 1
crappy 80 1
drink 137 1
dust 93 1
either 1310 1
explain 317 1
explodes 41 1
factor 194 1
fond 118 1
freaked 33 1
guy 2186 1
hate 691 1
havent 890 1
high 1916 1
honestly 266 1
horror 2831 1
however 3436 1
hunt 225 1
idea 1442 1
imdb 491 1
joint 39 1
kills 332 1
line 1515 1
mask 143 1
mean 1094 1
memory 364 1
metal 173 1
nostalgia 121 1
pool 124 1
praise 209 1
purposes 79 1
quintessential 59 1
rent 487 1
ridiculous 351 1
rocks 146 1
same 3966 1
scared 280 1
slasher 277 1
slaughter 74 1
stay 613 1
stomach 107 1
summary 150 1
thats 2914 1
whats 669 1
wow 282 1
yeah 282 1
acted 597 1
americas 114 1
artist 352 1
asked 321 1
barbara 330 1
become 1741 1
blood 822 1
brent 46 1
brothers 674 1
build 251 1
buildings 108 1
buying 153 1
called 1144 1
center 257 1
change 1044 1
changed 506 1
choice 542 1
circle 122 1
clear 745 1
closet 90 1
cold 574 1
conflict 313 1
dated 305 1
deals 361 1
defend 83 1
developed 354 1
domineering 27 1
enough 2895 1
evelyn 51 1
fathers 267 1
flashback 174 1
fleshed 47 1
france 315 1
gain 141 1
gained 62 1
gay 537 1
gene 296 1
george 888 1
geraldine 59 1
giant 309 1
harm 83 1
helen 227 1
huh 56 1
impossible 424 1
land 431 1
liked 1790 1
major 935 1
melodrama 217 1
melodramatic 127 1
money 1338 1
named 810 1
nancy 209 1
noble 155 1
novel 946 1
oldest 73 1
pay 471 1
playing 1637 1
poorly 128 1
possession 52 1
pretentious 108 1
problems 907 1
progressed 41 1
prologue 34 1
property 81 1
rather 2508 1
remade 77 1
rivalry 44 1
roles 1283 1
royal 107 1
satisfactory 39 1
sell 223 1
sense 2032 1
significance 84 1
simplest 26 1
sister 855 1
solved 35 1
something 4220 1
stanwyck 217 1
steal 222 1
supporting 1106 1
sympathize 53 1
sympathy 172 1
tells 1057 1
towards 674 1
trend 69 1
turn 1260 1
ultimately 517 1
unfortunate 194 1
wants 1365 1
warner 213 1
whatever 512 1
whom 744 1
worse 449 1
wwi 30 1
york 866 1
youngest 71 1
angle 189 1
aspect 451 1
correct 201 1
fiction 486 1
forget 768 1
lose 346 1
montana 100 1
nothing 2454 1
pacino 149 1
pulp 129 1
ratio 30 1
run 1050 1
scarface 50 1
sound 1269 1
swear 70 1
sweet 722 1
words 901 1
centered 55 1
color 433 1
consequences 213 1
early 1759 1
female 757 1
grass 50 1
house 1882 1
iii 106 1
instructor 40 1
katherine 47 1
mrs 302 1
nurses 29 1
offers 436 1
performed 252 1
print 209 1
rare 599 1
risks 59 1
side 1331 1
stage 713 1
student 354 1
veteran 238 1
account 194 1
challenges 99 1
comparisons 85 1
contributed 63 1
creation 168 1
effort 544 1
encounter 235 1
entire 1189 1
except 776 1
fiend 31 1
file 33 1
flowed 26 1
independent 354 1
involved 967 1
laughed 357 1
loud 331 1
maker 117 1
managed 386 1
punk 134 1
smoothly 63 1
soundtrack 999 1
technology 225 1
absurd 161 1
anxiety 46 1
automatically 48 1
channel 348 1
coke 34 1
comfortable 156 1
complain 122 1
corner 154 1
creep 59 1
die 623 1
disappointed 685 1
discovery 157 1
drops 94 1
editor 91 1
effects 1629 1
else 1467 1
fear 567 1
gore 606 1
kate 205 1
leave 1071 1
lonely 237 1
meet 743 1
outrageous 146 1
popcorn 113 1
pretty 2971 1
push 132 1
rating 718 1
scary 659 1
seat 305 1
spoiler 303 1
station 348 1
subway 64 1
sudden 224 1
surprised 985 1
survivor 54 1
suspense 748 1
votes 48 1
wondering 254 1
yourself 852 1
ann 282 1
aura 51 1
deserving 65 1
eleanor 55 1
equally 450 1
faced 176 1
forgotten 388 1
friends 1973 1
girlfriend 521 1
helps 508 1
hometown 49 1
hunting 136 1
innocence 237 1
nomination 134 1
oscar 951 1
satisfying 287 1
showed 544 1
soldiers 486 1
wartime 87 1
worthy 346 1
fears 177 1
gem 586 1
heartwarming 174 1
josie 46 1
lawrence 121 1
magical 249 1
pleasantly 196 1
sappy 88 1
sentimental 166 1
starred 153 1
uplifting 129 1
wacky 86 1
australian 307 1
bank 221 1
brown 322 1
bryan 50 1
bugs 250 1
car 977 1
damn 260 1
gang 420 1
hapless 63 1
heath 52 1
jimmy 344 1
loses 227 1
nearly 727 1
normally 244 1
robbery 102 1
spoilers 462 1
storylines 29 1
ties 108 1
together 2497 1
wannabe 55 1
buff 102 1
dick 252 1
drew 231 1
fame 315 1
filling 69 1
guess 850 1
least 2127 1
lover 381 1
mystery 769 1
notable 191 1
van 382 1
youll 1373 1
add 732 1
admit 589 1
ago 1151 1
alone 970 1
amount 514 1
attached 103 1
available 582 1
brutal 385 1
consider 504 1
containing 76 1
digital 117 1
dvds 176 1
essential 193 1
european 283 1
exotic 98 1
fits 279 1
frustration 101 1
heart 1555 1
indeed 778 1
involving 479 1
lively 114 1
material 616 1
month 138 1
mouth 217 1
mysteries 117 1
occur 119 1
principle 75 1
regime 55 1
remain 270 1
shame 580 1
situation 808 1
stereo 31 1
success 721 1
surroundings 89 1
adaptation 433 1
appeal 387 1
astronaut 29 1
awry 35 1
boot 123 1
brave 205 1
check 725 1
conquer 33 1
decent 646 1
element 383 1
expected 645 1
fearless 29 1
fighter 97 1
find 4452 1
group 1072 1
halloween 214 1
hero 834 1
interestingly 90 1
invasion 94 1
likely 431 1
passed 224 1
plans 254 1
prepare 83 1
quotes 90 1
radio 465 1
represent 120 1
scientist 194 1
scum 34 1
soldier 395 1
stereotype 76 1
teen 329 1
test 236 1
themselves 1180 1
worlds 295 1
emotions 612 1
everybody 416 1
feelings 557 1
sad 940 1
tense 216 1
admired 60 1
apartment 403 1
approach 452 1
blind 248 1
carry 272 1
crowd 280 1
desert 257 1
discovers 310 1
discussion 127 1
frightening 223 1
heard 1107 1
heroes 318 1
huge 857 1
intense 518 1
journey 689 1
lights 200 1
loneliness 139 1
melancholy 76 1
mood 521 1
projects 123 1
remarkable 458 1
rides 77 1
spot 347 1
surrounds 33 1
suspenseful 257 1
terrific 674 1
across 996 1
beaten 107 1
book 1998 1
close 1068 1
comments 761 1
deepest 51 1
flawed 179 1
girl 2407 1
herself 862 1
lie 191 1
meaning 486 1
messy 36 1
praised 61 1
profound 174 1
reading 588 1
redeeming 55 1
redemption 176 1
resonates 32 1
reviews 588 1
rivers 85 1
said 1921 1
shocking 344 1
sometimes 1385 1
thoughtprovoking 116 1
value 392 1
above 851 1
admittedly 107 1
afford 89 1
amusing 442 1
atmospheric 176 1
businessman 103 1
carla 77 1
casts 86 1
chloe 35 1
christopher 423 1
company 550 1
creepy 627 1
cushing 62 1
daughter 1021 1
dawn 143 1
delightfully 100 1
delivers 474 1
eager 95 1
eerie 188 1
elliott 75 1
employed 63 1
finest 439 1
fourth 180 1
genuinely 301 1
gothic 166 1
grayson 68 1
greatest 1119 1
haunted 191 1
henderson 40 1
humorous 326 1
imaginable 51 1
ingenious 93 1
ingrid 87 1
jon 192 1
lee 555 1
macabre 71 1
maniac 72 1
mansion 109 1
museum 130 1
nanny 55 1
nearby 122 1
norton 47 1
novelist 47 1
offer 350 1
paul 891 1
pertwee 36 1
phillip 55 1
pitt 176 1
porter 67 1
possibly 528 1
previous 690 1
private 287 1
production 1563 1
ravishing 35 1
reed 124 1
refers 66 1
retired 102 1
revolves 160 1
rural 151 1
sexy 471 1
short 2012 1
strange 926 1
sublime 99 1
tales 213 1
teacher 312 1
third 655 1
town 1240 1
upbringing 37 1
views 188 1
wax 154 1
wonderfully 523 1
writer 659 1
yearold 164 1
andor 187 1
ben 525 1
bits 286 1
caught 674 1
christmas 484 1
comic 916 1
enjoys 117 1
exhausted 38 1
expecting 524 1
flick 885 1
guard 152 1
holidays 33 1
hurt 394 1
identify 169 1
jack 1035 1
lighting 279 1
namely 92 1
perhaps 1651 1
pleased 171 1
putting 302 1
relatives 93 1
stopped 158 1
subtle 665 1
tree 128 1
betty 267 1
broadway 246 1
cinematography 1117 1
colors 237 1
costumes 416 1
cover 375 1
danced 31 1
dancer 153 1
dancing 624 1
dramatic 670 1
dream 696 1
forever 444 1
fulfill 51 1
glamorous 64 1
gorgeous 499 1
kelly 427 1
magazine 141 1
mentor 42 1
noted 165 1
rings 198 1
shes 1291 1
stardom 75 1
stick 292 1
vivid 150 1
anne 325 1
